01:43:17,211 tensorflow DEBUG Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
01:43:17,576 h5py._conv DEBUG Creating converter from 7 to 5
01:43:17,576 h5py._conv DEBUG Creating converter from 5 to 7
01:43:17,576 h5py._conv DEBUG Creating converter from 7 to 5
01:43:17,576 h5py._conv DEBUG Creating converter from 5 to 7
01:43:20,282 matplotlib DEBUG matplotlib data path: /nlp/scr/sabhay/miniconda3/envs/jax-privacy-dm/lib/python3.9/site-packages/matplotlib/mpl-data
01:43:20,288 matplotlib DEBUG CONFIGDIR=/sailhome/sabhay/.config/matplotlib
01:43:20,290 matplotlib DEBUG interactive is False
01:43:20,290 matplotlib DEBUG platform is linux
